Wavelength,Intensity
288.3061315546512,995.0
288.57422905441445,997.0
288.84231689730785,991.0
289.11039508330543,987.0
289.37846361238127,996.0
289.64652248450903,1008.0
289.91457169966276,1025.0
290.1826112578164,976.0
290.4506411589439,1009.0
290.718661403019,996.0
290.98667199001574,1000.0
291.2546729199081,999.0
291.5226641926699,984.0
291.79064580827514,1000.0
292.0586177666976,988.0
292.3265800679113,1008.0
292.5945327118902,1027.0
292.8624756986082,978.0
293.1304090280392,1001.0
293.39833270015714,1006.0
293.6662467149358,997.0
293.93415107234927,1000.0
294.2020457723715,1007.0
294.46993081497624,997.0
294.7378062001375,1009.0
295.00567192782927,1005.0
295.2735279980254,1019.0
295.5413744106997,972.0
295.8092111658262,1005.0
296.07703826337894,1001.0
296.34485570333163,999.0
296.6126634856583,987.0
296.8804616103328,998.0
297.1482500773291,1000.0
297.41602888662123,1005.0
297.68379803818294,1005.0
297.95155753198816,1025.0
298.21930736801085,973.0
298.487047546225,999.0
298.7547780666044,1005.0
299.0224989291231,991.0
299.29021013375495,996.0
299.55791168047386,993.0
299.8256035692538,985.0
300.09328580006866,986.0
300.36095837289236,1003.0
300.6286212876987,1028.0
300.8962745444619,983.0
301.1639181431556,995.0
301.43155208375384,994.0
301.6991763662305,994.0
301.96679099055956,991.0
302.2343959567149,994.0
302.5019912646703,994.0
302.76957691440003,1019.0
303.0371529058777,1020.0
303.3047192390773,1032.0
303.5722759139728,981.0
303.8398229305381,1013.0
304.10736028874715,1003.0
304.37488798857385,1006.0
304.6424060299921,1011.0
304.9099144129758,1010.0
305.1774131374989,1002.0
305.4449022035354,1006.0
305.712381611059,1016.0
305.9798513600438,1036.0
306.2473114504638,979.0
306.5147618822927,1011.0
306.7822026555046,995.0
307.0496337700733,991.0
307.3170552259727,1000.0
307.5844670231768,1007.0
307.8518691616595,999.0
308.1192616413948,1007.0
308.38664446235646,1014.0
308.65401762451853,1035.0
308.9213811278549,981.0
309.1887349723394,996.0
309.45607915794614,993.0
309.7234136846488,991.0
309.9907385524215,992.0
310.25805376123805,1009.0
310.52535931107235,1003.0
310.79265520189847,1001.0
311.0599414336902,1014.0
311.32721800642145,1021.0
311.5944849200662,975.0
311.86174217459836,991.0
312.12898976999185,997.0
312.3962277062206,1001.0
312.66345598325853,1004.0
312.93067460107955,987.0
313.19788355965755,991.0
313.4650828589664,1001.0
313.7322724989802,1007.0
313.99945247967264,1025.0
314.26662280101783,972.0
314.5337834629897,992.0
314.800934465562,996.0
315.0680758087088,1004.0
315.3352074924039,1010.0
315.60232951662135,1017.0
315.869441881335,1001.0
316.13654458651877,999.0
316.4036376321465,1011.0
316.6707210181923,1029.0
316.93779474462997,983.0
317.20485881143344,998.0
317.4719132185766,998.0
317.73895796603347,1001.0
318.00599305377784,1004.0
318.2730184817837,1000.0
318.5400342500249,1007.0
318.8070403584756,1000.0
319.07403680710945,1006.0
319.3410235959005,1040.0
319.6080007248226,989.0
319.8749681938497,1002.0
320.14192600295576,992.0
320.40887415211466,995.0
320.6758126413003,998.0
320.9427414704866,1004.0
321.20966063964755,1005.0
321.47657014875705,1023.0
321.743469997789,1008.0
322.0103601867173,1035.0
322.27724071551586,979.0
322.5441115841586,1004.0
322.81097279261957,1007.0
323.07782434087244,1006.0
323.3446662288914,1011.0
323.6114984566502,1006.0
323.87832102412284,1004.0
324.1451339312832,1006.0
324.4119371781052,1017.0
324.6787307645628,1039.0
324.9455146906298,972.0
325.2122889562803,983.0
325.47905356148806,994.0
325.7458085062271,1007.0
326.0125537904713,1005.0
326.2792894141946,1008.0
326.5460153773709,1006.0
326.8127316799741,1012.0
327.0794383219783,1006.0
327.3461353033571,1018.0
327.6128226240847,989.0
327.8795002841348,1009.0
328.1461682834814,1010.0
328.4128266220986,1005.0
328.6794752999601,1005.0
328.9461143170399,1000.0
329.2127436733119,994.0
329.47936336875,1004.0
329.7459734033282,1016.0
330.01257377702035,1036.0
330.27916448980034,967.0
330.5457455416422,999.0
330.8123169325198,997.0
331.078878662407,999.0
331.3454307312779,991.0
331.6119731391061,1016.0
331.8785058858659,1007.0
332.14502897153085,1005.0
332.41154239607516,1001.0
332.6780461594726,1023.0
332.94454026169717,970.0
333.2110247027227,994.0
333.47749948252317,994.0
333.74396460107255,998.0
334.0104200583446,1010.0
334.2768658543135,997.0
334.54330198895286,1001.0
334.80972846223676,1001.0
335.0761452741392,998.0
335.342552424634,1036.0
335.608949913695,978.0
335.8753377412963,1005.0
336.14171590741176,996.0
336.40808441201517,1009.0
336.67444325508063,1000.0
336.9407924365819,996.0
337.20713195649313,989.0
337.4734618147879,994.0
337.73978201144047,1000.0
338.0060925464246,1022.0
338.27239341971415,986.0
338.5386846312832,1003.0
338.8049661811055,1006.0
339.0712380691551,1008.0
339.3375002954059,995.0
339.60375285983173,991.0
339.86999576240663,996.0
340.13622900310435,1007.0
340.40245258189907,1008.0
340.6686664987645,1040.0
340.93487075367466,990.0
341.20106534660334,1010.0
341.4672502775246,996.0
341.7334255464124,1007.0
341.9995911532405,992.0
342.2657470979829,1001.0
342.53189338061344,1007.0
342.7980300011063,1002.0
343.0641569594351,1020.0
343.3302742555738,1041.0
343.5963818894965,985.0
343.862479861177,998.0
344.12856817058923,997.0
344.3946468177071,999.0
344.6607158025046,1000.0
344.9267751249555,1011.0
345.19282478503396,1000.0
