Wavelength (nm), Intensity
2.415101640488575185e+02,1.177000000000000000e+03
2.417799414468864256e+02,1.154000000000000000e+03
2.420497091925834638e+02,1.161000000000000000e+03
2.423194672859226557e+02,1.162000000000000000e+03
2.425892157268778533e+02,1.208000000000000000e+03
2.428589545154229370e+02,1.176000000000000000e+03
2.431286836515319578e+02,1.171000000000000000e+03
2.433984031351787394e+02,1.173000000000000000e+03
2.436681129663372189e+02,1.174000000000000000e+03
2.439378131449813054e+02,1.143000000000000000e+03
2.442075036710849076e+02,1.167000000000000000e+03
2.444771845446219629e+02,1.176000000000000000e+03
2.447468557655664370e+02,1.217000000000000000e+03
2.450165173338921818e+02,1.146000000000000000e+03
2.452861692495731347e+02,1.188000000000000000e+03
2.455558115125832614e+02,1.172000000000000000e+03
2.458254441228964424e+02,1.177000000000000000e+03
2.460950670804866149e+02,1.174000000000000000e+03
2.463646803853276310e+02,1.180000000000000000e+03
2.466342840373935132e+02,1.163000000000000000e+03
2.469038780366581136e+02,1.181000000000000000e+03
2.471734623830953979e+02,1.152000000000000000e+03
2.474430370766792180e+02,1.165000000000000000e+03
2.477126021173835682e+02,1.161000000000000000e+03
2.479821575051823572e+02,1.199000000000000000e+03
2.482517032400494656e+02,1.195000000000000000e+03
2.485212393219588023e+02,1.160000000000000000e+03
2.487907657508843329e+02,1.155000000000000000e+03
2.490602825267999663e+02,1.161000000000000000e+03
2.493297896496796682e+02,1.171000000000000000e+03
2.495992871194972622e+02,1.210000000000000000e+03
2.498687749362267425e+02,1.163000000000000000e+03
2.501382530998419611e+02,1.165000000000000000e+03
2.504077216103169121e+02,1.147000000000000000e+03
2.506771804676254760e+02,1.187000000000000000e+03
2.509466296717415617e+02,1.183000000000000000e+03
2.512160692226391632e+02,1.223000000000000000e+03
2.514854991202921042e+02,1.149000000000000000e+03
2.517549193646743220e+02,1.179000000000000000e+03
2.520243299557598107e+02,1.186000000000000000e+03
2.522937308935224223e+02,1.211000000000000000e+03
2.525631221779360942e+02,1.159000000000000000e+03
2.528325038089747352e+02,1.156000000000000000e+03
2.531018757866123110e+02,1.152000000000000000e+03
2.533712381108226737e+02,1.198000000000000000e+03
2.536405907815797889e+02,1.165000000000000000e+03
2.539099337988575940e+02,1.184000000000000000e+03
2.541792671626299125e+02,1.168000000000000000e+03
2.544485908728707955e+02,1.166000000000000000e+03
2.547179049295540949e+02,1.147000000000000000e+03
2.549872093326537197e+02,1.148000000000000000e+03
2.552565040821436355e+02,1.173000000000000000e+03
2.555257891779976660e+02,1.179000000000000000e+03
2.557950646201898621e+02,1.165000000000000000e+03
2.560643304086940475e+02,1.154000000000000000e+03
2.563335865434841594e+02,1.164000000000000000e+03
2.566028330245341635e+02,1.183000000000000000e+03
2.568720698518179688e+02,1.169000000000000000e+03
2.571412970253094841e+02,1.165000000000000000e+03
2.574105145449825613e+02,1.156000000000000000e+03
2.576797224108112232e+02,1.166000000000000000e+03
2.579489206227693217e+02,1.141000000000000000e+03
2.582181091808308224e+02,1.173000000000000000e+03
2.584872880849696344e+02,1.164000000000000000e+03
2.587564573351596096e+02,1.206000000000000000e+03
2.590256169313748273e+02,1.170000000000000000e+03
2.592947668735890829e+02,1.175000000000000000e+03
2.595639071617762852e+02,1.166000000000000000e+03
2.598330377959104567e+02,1.182000000000000000e+03
2.601021587759653357e+02,1.152000000000000000e+03
2.603712701019150586e+02,1.171000000000000000e+03
2.606403717737333636e+02,1.157000000000000000e+03
2.609094637913943302e+02,1.189000000000000000e+03
2.611785461548717535e+02,1.161000000000000000e+03
2.614476188641395993e+02,1.175000000000000000e+03
2.617166819191718901e+02,1.186000000000000000e+03
2.619857353199423642e+02,1.186000000000000000e+03
2.622547790664249874e+02,1.149000000000000000e+03
2.625238131585937822e+02,1.152000000000000000e+03
2.627928375964224870e+02,1.168000000000000000e+03
2.630618523798852948e+02,1.181000000000000000e+03
2.633308575089558303e+02,1.154000000000000000e+03
2.635998529836082298e+02,1.189000000000000000e+03
2.638688388038163453e+02,1.192000000000000000e+03
2.641378149695540856e+02,1.201000000000000000e+03
2.644067814807953596e+02,1.179000000000000000e+03
2.646757383375140193e+02,1.193000000000000000e+03
2.649446855396842579e+02,1.194000000000000000e+03
2.652136230872795863e+02,1.203000000000000000e+03
2.654825509802742545e+02,1.145000000000000000e+03
2.657514692186420575e+02,1.160000000000000000e+03
2.660203778023569043e+02,1.124000000000000000e+03
2.662892767313927607e+02,1.149000000000000000e+03
2.665581660057235354e+02,1.143000000000000000e+03
2.668270456253230805e+02,1.185000000000000000e+03
2.670959155901653617e+02,1.181000000000000000e+03
2.673647759002244015e+02,1.187000000000000000e+03
2.676336265554739384e+02,1.174000000000000000e+03
2.679024675558880517e+02,1.197000000000000000e+03
2.681712989014405366e+02,1.200000000000000000e+03
2.684401205921054725e+02,1.154000000000000000e+03
2.687089326278565977e+02,1.130000000000000000e+03
2.689777350086678211e+02,1.162000000000000000e+03
2.692465277345133359e+02,1.122000000000000000e+03
2.695153108053667097e+02,1.141000000000000000e+03
2.697840842212020789e+02,1.133000000000000000e+03
2.700528479819934091e+02,1.149000000000000000e+03
2.703216020877144388e+02,1.165000000000000000e+03
2.705903465383391904e+02,1.174000000000000000e+03
2.708590813338415728e+02,1.161000000000000000e+03
2.711278064741955518e+02,1.184000000000000000e+03
2.713965219593748657e+02,1.181000000000000000e+03
2.716652277893537075e+02,1.201000000000000000e+03
2.719339239641058157e+02,1.136000000000000000e+03
2.722026104836050990e+02,1.155000000000000000e+03
2.724712873478255801e+02,1.151000000000000000e+03
2.727399545567411678e+02,1.178000000000000000e+03
2.730086121103257142e+02,1.165000000000000000e+03
